scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
1,Cristiano Ronaldo,Portugal,121,21,0,2004-06-12,2025-10-14,1. Cristiano Ronaldo
2,Harry Kane,England,69,22,0,2015-03-27,2025-11-16,2. Harry Kane
3,Robert Lewandowski,Poland,69,14,0,2008-09-10,2026-03-26,3. Robert Lewandowski
4,Romelu Lukaku,Belgium,64,7,0,2013-10-11,2025-06-09,4. Romelu Lukaku
5,Lionel Messi,Argentina,63,14,0,2006-06-16,2025-09-04,5. Lionel Messi
6,Edin Džeko,Bosnia and Herzegovina,58,2,0,2007-06-02,2026-03-26,6. Edin Džeko
7,Aleksandar Mitrović,Serbia,52,4,0,2013-09-06,2025-10-14,7. Aleksandar Mitrović
8,Ali Daei,Iran,49,8,0,1993-06-25,2005-08-17,8. Ali Daei
9,Miroslav Klose,Germany,48,0,0,2001-03-24,2014-07-08,9. Miroslav Klose
10,Luis Suárez,Uruguay,47,9,0,2007-10-13,2024-07-13,10. Luis Suárez
11,Carlos Ruiz,Guatemala,47,4,0,2000-06-18,2016-09-06,11. Carlos Ruiz
12,Erling Haaland,Norway,46,5,0,2020-09-04,2025-11-16,12. Erling Haaland
13,Kylian Mbappé,France,45,10,0,2017-08-31,2025-11-13,13. Kylian Mbappé
14,Memphis Depay,Netherlands,44,11,0,2014-06-18,2025-11-14,14. Memphis Depay
15,Robbie Keane,Republic of Ireland,44,10,0,1998-10-14,2015-09-04,15. Robbie Keane
16,Zlatan Ibrahimović,Sweden,44,5,0,2001-10-07,2015-11-17,16. Zlatan Ibrahimović
17,Clint Dempsey,United States,41,4,0,2005-07-07,2017-07-22,17. Clint Dempsey
18,David Villa,Spain,41,4,0,2005-11-16,2014-06-23,18. David Villa
19,Samuel Eto'o,Cameroon,40,7,0,2000-01-28,2013-03-23,19. Samuel Eto'o
20,Andriy Shevchenko,Ukraine,40,5,0,1997-04-02,2012-06-11,20. Andriy Shevchenko
21,Ronaldo,Brazil,39,5,0,1997-06-13,2006-06-27,21. Ronaldo
22,Gerd Müller,Germany,39,3,0,1967-04-08,1974-07-07,22. Gerd Müller
23,Hakan Şükür,Turkey,39,2,0,1992-10-28,2007-06-02,23. Hakan Şükür
24,Landon Donovan,United States,38,10,0,2002-01-19,2013-09-10,24. Landon Donovan
25,Marko Arnautović,Austria,38,8,0,2010-10-08,2025-11-15,25. Marko Arnautović
