team,n_tournaments,mean_ppm,std_ppm,pct_positive_gd,consistency_score
Netherlands,4,2.2375,0.3592023949589114,1.0,1.0
Brazil,6,2.1619047619047618,0.4871128324778829,0.8333333333333334,0.8795318268877091
Germany,6,1.9603174603174602,0.6525141794215533,0.8333333333333334,0.7750620608773636
Spain,6,1.7952380952380953,0.6308670202815422,0.8333333333333334,0.7288149857606777
Argentina,6,1.8698412698412696,0.5699876011434758,0.6666666666666666,0.7025855259633779
Colombia,2,2.075,0.459619407771256,1.0,0.6336586169084718
Portugal,6,1.4150793650793652,0.3397233323673835,0.6666666666666666,0.6178733822044886
Belgium,4,1.8886904761904761,0.6937616825026037,0.5,0.6127093742606357
Senegal,3,1.4777777777777779,0.1347150628109128,0.3333333333333333,0.559169085047441
England,6,1.4686507936507935,0.6592141557180166,0.6666666666666666,0.5547063214196695
Ecuador,4,1.2916666666666665,0.20971762320196527,0.5,0.5469677942039559
France,6,1.634920634920635,1.0361566287655768,0.6666666666666666,0.5124354480976364
Sweden,3,1.4333333333333333,0.31754264805429416,0.3333333333333333,0.4995186220137899
Switzerland,5,1.5166666666666666,0.2910708199428829,0.2,0.4803746624370394
Uruguay,5,1.4942857142857142,0.6199114851598626,0.4,0.46886856503855817
Chile,2,1.625,0.1767766952966369,0.5,0.45733020331574287
Paraguay,3,1.0666666666666667,0.11547005383792512,0.3333333333333333,0.4353233882971188
Ivory Coast,3,1.111111111111111,0.1924500897298752,0.3333333333333333,0.42997317999239765
Mexico,6,1.388888888888889,0.34020690871988585,0.16666666666666666,0.41513064177052195
Croatia,5,1.219047619047619,0.5135356081730634,0.4,0.4093445036977304
Japan,6,1.1527777777777777,0.6980462151738368,0.5,0.38132758078338985
Russia,3,1.0888888888888888,0.4729732589731726,0.3333333333333333,0.3528351083707675
Poland,4,1.0,0.0,0.0,0.3137318785317594
Denmark,4,1.1458333333333333,0.625,0.25,0.3002169084386037
Italy,4,1.2738095238095237,0.7857142857142857,0.25,0.30005935907774467
Ghana,4,1.1083333333333334,0.5795112883571237,0.25,0.2998616950317369
South Africa,2,1.3333333333333333,0.0,0.0,0.296345316194745
South Korea,6,1.0396825396825398,0.41776499232619185,0.16666666666666666,0.2864395999064469
Greece,2,1.125,0.1767766952966369,0.0,0.22339400707121612
United States,5,1.0466666666666666,0.42383828152833114,0.0,0.2222974657996979
Morocco,2,0.9523809523809523,0.875465538611916,0.5,0.20046023719924946
Costa Rica,5,0.8933333333333333,0.731209044437134,0.2,0.17518026266951894
Nigeria,4,0.6666666666666666,0.3849001794597505,0.0,0.11311521363801086
Tunisia,4,0.75,0.49999999999999994,0.0,0.11039849769947603
Iran,4,0.75,0.5,0.0,0.11039849769947602
Australia,5,0.8333333333333333,0.6454972243679028,0.0,0.10007672519213531
Algeria,2,0.6666666666666666,0.4714045207910317,0.0,0.07862640874931552
Serbia,4,0.5833333333333334,0.5,0.0,0.05823881068843328
Saudi Arabia,4,0.5833333333333333,0.5,0.0,0.058238810688433236
Cameroon,4,0.6666666666666666,0.769800358919501,0.0,0.0168179227663479
Honduras,2,0.16666666666666666,0.23570226039551584,0.0,0.013620239101887761
Slovenia,2,0.6666666666666666,0.9428090415820634,0.0,0.0
