points_rank,team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate,points_label
1,Netherlands,23,16,5,2,40,16,24,53,2,0.6956521739130435,0.217391304347826,0.0869565217391304,1.0434782608695652,1.7391304347826086,0.6956521739130435,2.3043478260869565,0.0869565217391304,1. Netherlands
2,Brazil,34,23,5,6,64,30,34,74,7,0.6764705882352942,0.1470588235294117,0.1764705882352941,1.0,1.8823529411764703,0.8823529411764706,2.176470588235294,0.2058823529411764,2. Brazil
3,Germany,34,23,4,7,70,27,43,73,7,0.6764705882352942,0.1176470588235294,0.2058823529411764,1.2647058823529411,2.0588235294117645,0.7941176470588235,2.1470588235294117,0.2058823529411764,3. Germany
4,Colombia,9,6,1,2,18,7,11,19,3,0.6666666666666666,0.1111111111111111,0.2222222222222222,1.2222222222222223,2.0,0.7777777777777778,2.111111111111111,0.3333333333333333,4. Colombia
5,Belgium,19,12,3,4,29,18,11,39,2,0.631578947368421,0.1578947368421052,0.2105263157894736,0.5789473684210527,1.5263157894736843,0.9473684210526316,2.0526315789473686,0.1052631578947368,5. Belgium
6,Argentina,31,18,7,6,52,32,20,61,3,0.5806451612903226,0.2258064516129032,0.1935483870967742,0.6451612903225806,1.6774193548387095,1.032258064516129,1.967741935483871,0.0967741935483871,6. Argentina
7,France,32,18,8,6,50,27,23,62,3,0.5625,0.25,0.1875,0.71875,1.5625,0.84375,1.9375,0.09375,7. France
8,Spain,27,15,7,5,47,27,20,52,3,0.5555555555555556,0.2592592592592592,0.1851851851851851,0.7407407407407407,1.7407407407407407,1.0,1.9259259259259256,0.1111111111111111,8. Spain
9,Turkey,7,4,1,2,10,6,4,13,1,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.5714285714285714,1.4285714285714286,0.8571428571428571,1.8571428571428572,0.1428571428571428,9. Turkey
10,Chile,8,4,1,3,9,9,0,13,0,0.5,0.125,0.375,0.0,1.125,1.125,1.625,0.0,10. Chile
